name,pa_url,source_url,org_category,org_classification,popit_id
Portfolio Committee On Basic Education,http://www.pa.org.za/organisation/portfolio-committee-on-basic-education/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/114,political,Committee,za.org.pa.www/core_organisation/114
Portfolio Committee On Communications,http://www.pa.org.za/organisation/portfolio-committee-on-communications/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/113,political,Committee,za.org.pa.www/core_organisation/113
Portfolio Committee on Co-operative Governance and Traditional Affairs,http://www.pa.org.za/organisation/portfolio-committee-on-co-operative-governance-and-traditional-affairs/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/137,political,Committee,za.org.pa.www/core_organisation/137
Portfolio Committee On Correctional Services,http://www.pa.org.za/organisation/portfolio-committee-on-correctional-services/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/112,political,Committee,za.org.pa.www/core_organisation/112
Portfolio Committee On Defence and Military Veterans,http://www.pa.org.za/organisation/portfolio-committee-on-defence-and-military-veterans/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/115,political,Committee,za.org.pa.www/core_organisation/115
Portfolio Committee On Economic Development,http://www.pa.org.za/organisation/portfolio-committee-on-economic-development/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/123,political,Committee,za.org.pa.www/core_organisation/123
Portfolio Committee On Energy,http://www.pa.org.za/organisation/portfolio-committee-on-energy/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/100,political,Committee,za.org.pa.www/core_organisation/100
Portfolio Committee on Finance,http://www.pa.org.za/organisation/portfolio-committee-on-finance/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/95,political,Committee,za.org.pa.www/core_organisation/95
Portfolio Committee On Health,http://www.pa.org.za/organisation/portfolio-committee-on-health/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/126,political,Committee,za.org.pa.www/core_organisation/126
Portfolio Committee On Higher Education and Training,http://www.pa.org.za/organisation/portfolio-committee-on-higher-education-and-training/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/91,political,Committee,za.org.pa.www/core_organisation/91
Portfolio Committee On Home Affairs,http://www.pa.org.za/organisation/portfolio-committee-on-home-affairs/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/129,political,Committee,za.org.pa.www/core_organisation/129
Portfolio Committee On Human Settlements,http://www.pa.org.za/organisation/portfolio-committee-on-human-settlements/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/128,political,Committee,za.org.pa.www/core_organisation/128
Portfolio Committee On International Relations and Co-operation,http://www.pa.org.za/organisation/portfolio-committee-on-international-relations-and-co-operation/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/127,political,Committee,za.org.pa.www/core_organisation/127
Portfolio Committee On Justice and Constitutional Development,http://www.pa.org.za/organisation/portfolio-committee-on-justice-and-constitutional-development/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/131,political,Committee,za.org.pa.www/core_organisation/131
Portfolio Committee On Labour,http://www.pa.org.za/organisation/portfolio-committee-on-labour/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/130,political,Committee,za.org.pa.www/core_organisation/130
Portfolio Committee On Mining,http://www.pa.org.za/organisation/portfolio-committee-on-mining/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/94,political,Committee,za.org.pa.www/core_organisation/94
Portfolio Committee On Police,http://www.pa.org.za/organisation/portfolio-committee-on-police/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/97,political,Committee,za.org.pa.www/core_organisation/97
Portfolio Committee On Public Enterprises,http://www.pa.org.za/organisation/portfolio-committee-on-public-enterprises/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/101,political,Committee,za.org.pa.www/core_organisation/101
Portfolio Committee On Public Service and Administration,http://www.pa.org.za/organisation/portfolio-committee-on-public-service-and-administration/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/102,political,Committee,za.org.pa.www/core_organisation/102
Portfolio Committee On Public Works,http://www.pa.org.za/organisation/portfolio-committee-on-public-works/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/96,political,Committee,za.org.pa.www/core_organisation/96
Portfolio Committee On Rural Development and Land Reform,http://www.pa.org.za/organisation/portfolio-committee-on-rural-development-and-land-reform/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/92,political,Committee,za.org.pa.www/core_organisation/92
Portfolio Committee On Science and Technology,http://www.pa.org.za/organisation/portfolio-committee-on-science-and-technology/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/98,political,Committee,za.org.pa.www/core_organisation/98
Portfolio Committee On Social Development,http://www.pa.org.za/organisation/portfolio-committee-on-social-development/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/99,political,Committee,za.org.pa.www/core_organisation/99
Portfolio Committee On Sport and Recreation,http://www.pa.org.za/organisation/portfolio-committee-on-sport-and-recreation/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/106,political,Committee,za.org.pa.www/core_organisation/106
Portfolio Committee On Tourism,http://www.pa.org.za/organisation/portfolio-committee-on-tourism/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/93,political,Committee,za.org.pa.www/core_organisation/93
Portfolio Committee On Trade and Industry,http://www.pa.org.za/organisation/portfolio-committee-on-trade-and-industry/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/107,political,Committee,za.org.pa.www/core_organisation/107
