SourceName,Role,TargetName
Computershare Investor Services (Pty) Ltd,Transfer Secretary,COMBINED MOTOR HOLDINGS LIMITED
GRANT THORNTON,Audit Firm,COMAIR LIMITED
Rand Merchant Bank Corporate Finance Division,Sponsor,COMAIR LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,COMAIR LIMITED
Investec Bank Ltd ( Trading as Investec Securities and Investec Corporate Finance ),Sponsor,COAL OF AFRICA LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,COAL OF AFRICA LIMITED
Nedbank Capital a division of Nedbanl Limited,Debt Sponsor,BANK OF CHINA LIMITED
Transfer Secretaries,Transfer Secretary,BANK OF CHINA LIMITED
KPMG INCORPORATED,Audit Firm,COMPU-CLEARING OUTSOURCING LIMITED
Sasfin Bank Ltd,Sponsor,COMPU-CLEARING OUTSOURCING LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,COMPU-CLEARING OUTSOURCING LIMITED
Transfer Secretaries,Transfer Secretary,COMMISSIONER STREET NO 1 (PTY) LTD
Rand Merchant Bank Corporate Finance Division,Sponsor,COMPAGNIE FINANCIERE RICHEMONT SA
Computershare Investor Services (Pty) Ltd,Transfer Secretary,COMPAGNIE FINANCIERE RICHEMONT SA
ERNST & YOUNG INC,Audit Firm,CORONATION FUND MANAGERS LIMITED
Deutsche Securities SA (Pty) Ltd,Sponsor,CORONATION FUND MANAGERS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CORONATION FUND MANAGERS LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,CONVERGENET HOLDINGS LIMITED
Deloitte & Touche Sponsor Services (Pty) Ltd,Sponsor,CONVERGENET HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CONVERGENET HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CORWIL INVESTMENTS LIMITED
DELOITTE & TOUCHE,Audit Firm,CROOKES BROTHERS LIMITED
Sasfin Bank Ltd,Sponsor,CROOKES BROTHERS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CROOKES BROTHERS LIMITED
GRANT THORNTON,Audit Firm,CSG HOLDINGS LIMITED
DELOITTE & TOUCHE,Audit Firm,CURRO HOLDINGS LIMITED
PSG Capital Ltd,Sponsor,CURRO HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CURRO HOLDINGS LIMITED
Mazars Inc.,Audit Firm,CULLINAN HOLDINGS LIMITED
ARCAY MOELA SPONSOR (PTY) LTD,Sponsor,CULLINAN HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CULLINAN HOLDINGS LIMITED
